       0,  -1,  -1,  78,  -1,  -1,  -1,  72,  -1,  -1,  -1,  -1, 118,  -1,  -1,  -1,  -1,
      -1,   0,  -1,  -1,  -1,  -1,  -1,  -1, 275,  -1,  -1, 174,  -1,  -1,  -1,  -1, 154,
      -1,  -1,   0,  -1,  -1, 316,  -1,  -1,  -1,  -1,  -1, 183,  -1,  -1,  -1,  -1,  -1,
      78,  -1,  -1,   0,  -1,  -1,  -1, 113,  -1,  -1,  -1,  80,  -1,  -1,  -1,  -1,  -1,
      -1,  -1,  -1,  -1,   0,  -1,  75,  -1,  -1,  42,  26,  -1,  -1,  -1,  -1,  -1,  -1,
      -1,  -1, 316,  -1,  -1,   0,  62,  -1,  -1,  -1,  -1, 184,  -1,  -1,  -1,  -1,  -1,
      -1,  -1,  -1,  -1,  75,  62,   0,  -1,  -1,  59,  -1,  -1,  -1,  -1,  -1,  -1,  -1,
      72,  -1,  -1, 113,  -1,  -1,  -1,   0,  -1,  -1,  -1,  -1,  -1,  42,  -1,  -1,  -1,
      -1, 275,  -1,  -1,  -1,  -1,  -1,  -1,   0,  -1,  -1,  -1,  -1,  -1,  -1,  -1, 122,
      -1,  -1,  -1,  -1,  42,  -1,  59,  -1,  -1,   0,  -1,  -1,  -1,  -1,  76,  -1,  -1,
      -1,  -1,  -1,  -1,  26,  -1,  -1,  -1,  -1,  -1,   0,  -1,  -1,  -1,  -1, 191,  -1,
      -1, 174, 183,  80,  -1, 184,  -1,  -1,  -1,  -1,  -1,   0,  -1,  -1,  -1,  -1,  -1,
     118,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,   0, 160,  -1,  -1, 211,
      -1,  -1,  -1,  -1,  -1,  -1,  -1,  42,  -1,  -1,  -1,  -1, 160,   0,  40,  -1,  -1,
      -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  76,  -1,  -1,  -1,  40,   0, 128,  -1,
      -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1,  -1, 191,  -1,  -1,  -1, 128,   0,  -1,
      -1, 154,  -1,  -1,  -1,  -1,  -1,  -1, 122,  -1,  -1,  -1, 211,  -1,  -1,  -1,   0
